firstName,lastName,middleName,email,college
Joanna,Hernandez,Lopez,joanna.hernandez@wvsu.edu.ph,COE
Allan,Bautista,Fernandez,allan.bautista@wvsu.edu.ph,CICT
Rachelle,Mendoza,Reyes,rachelle.mendoza@wvsu.edu.ph,COL
Bryan,Valenzuela,Castillo,bryan.valenzuela@wvsu.edu.ph,COM
Trisha,Fernandez,Santos,trisha.fernandez@wvsu.edu.ph,CON
Miguel,Cruz,Dela Cruz,miguel.cruz@wvsu.edu.ph,PESCAR
Stephanie,Navarro,Garcia,stephanie.navarro@wvsu.edu.ph,CAS
Joseph,Santos,Ramirez,joseph.santos@wvsu.edu.ph,CBM
Angelique,Flores,Villanueva,angelique.flores@wvsu.edu.ph,COC
Richard,Reyes,Cruz,richard.reyes@wvsu.edu.ph,COD
Karen,Tanaka,Soriano,karen.tanaka@wvsu.edu.ph,COE
Aldrin,Mendoza,Santos,aldrin.mendoza@wvsu.edu.ph,CICT
Melissa,Garcia,Gonzalez,melissa.garcia@wvsu.edu.ph,COL
Alvin,Dela Rosa,Lim,alvin.delarosa@wvsu.edu.ph,COM
Michelle Anne,Rosario,Santos,michelleanne.rosario@wvsu.edu.ph,CON
Jason,Domingo,Cruz,jason.domingo@wvsu.edu.ph,PESCAR
Christine,Santiago,Reyes,christine.santiago@wvsu.edu.ph,CAS
Aaron,Ramos,Gonzales,aaron.ramos@wvsu.edu.ph,CBM
Rose Ann,Soriano,Torres,roseann.soriano@wvsu.edu.ph,COC
Julius,Lopez,Mercado,julius.lopez@wvsu.edu.ph,COD
Hazel,Fernandez,Bautista,hazel.fernandez@wvsu.edu.ph,COE
Martin,Salvador,Pascual,martin.salvador@wvsu.edu.ph,CICT
Jennifer,Marquez,Dela Cruz,jennifer.marquez@wvsu.edu.ph,COL
Philip,Torres,Santos,philip.torres@wvsu.edu.ph,COM
Sheryl,Pascual,Hernandez,sheryl.pascual@wvsu.edu.ph,CON
Zachary,Morales,Reyes,zachary.morales@wvsu.edu.ph,PESCAR
Rachel,Gutierrez,Martinez,rachel.gutierrez@wvsu.edu.ph,CAS
Jonathan,Lim,Garcia,jonathan.lim@wvsu.edu.ph,CBM
Arianne,Cruz,Villanueva,arianne.cruz@wvsu.edu.ph,COC
Bernard,Santos,Mendoza,bernard.santos@wvsu.edu.ph,COD
Ysabel,Panganiban,Cruz,ysabel.panganiban@wvsu.edu.ph,COE
Christopher,Ortega,Dela Cruz,christopher.ortega@wvsu.edu.ph,CICT
Kaye,Magno,Reyes,kaye.magno@wvsu.edu.ph,COL
Frances,Agustin,Santos,frances.agustin@wvsu.edu.ph,COM
Mariel,Ferrer,Gonzales,mariel.ferrer@wvsu.edu.ph,CON
Earl John,Bautista,Lopez,earljohn.bautista@wvsu.edu.ph,PESCAR
Michaela,Garcia,Torres,michaela.garcia@wvsu.edu.ph,CAS
Dennis,Reyes,Mendoza,dennis.reyes@wvsu.edu.ph,CBM
Ellaine,Miranda,Santos,ellaine.miranda@wvsu.edu.ph,COC
Vincent,Cruz,Reyes,vincent.cruz@wvsu.edu.ph,COD
Danielle,Mendoza,Cruz,danielle.mendoza@wvsu.edu.ph,COE
Raymund,Sarmiento,Dela Cruz,raymund.sarmiento@wvsu.edu.ph,CICT
Rebecca,Cruz,Villanueva,rebecca.cruz@wvsu.edu.ph,COL
Oliver,Perez,Santos,oliver.perez@wvsu.edu.ph,COM
Ruth,Domingo,Torres,ruth.domingo@wvsu.edu.ph,CON
Eric,Santos,Lopez,eric.santos@wvsu.edu.ph,PESCAR
Angelina,Castillo,Garcia,angelina.castillo@wvsu.edu.ph,CAS
Dominic,Reyes,Hernandez,dominic.reyes@wvsu.edu.ph,CBM
Patrizia,Torres,Cruz,patrizia.torres@wvsu.edu.ph,COC
Renz,Villanueva,Reyes,renz.villanueva@wvsu.edu.ph,COD
Mae,Gonzales,Santos,mae.gonzales@wvsu.edu.ph,COE
Edison,Hernandez,Mendoza,edison.hernandez@wvsu.edu.ph,CICT
Althea,Santos,Dela Cruz,althea.santos@wvsu.edu.ph,COL
Raphael,Cruz,Garcia,raphael.cruz@wvsu.edu.ph,COM
Cristina,Reyes,Torres,cristina.reyes@wvsu.edu.ph,CON
Alden,Mendoza,Lopez,alden.mendoza@wvsu.edu.ph,PESCAR
Iris,Dela Cruz,Santos,iris.delacruz@wvsu.edu.ph,CAS
Anton,Torres,Cruz,anton.torres@wvsu.edu.ph,CBM
Cassandra,Garcia,Reyes,cassandra.garcia@wvsu.edu.ph,COC
Lorenzo,Santos,Villanueva,lorenzo.santos@wvsu.edu.ph,COD
Fatima,Cruz,Mendoza,fatima.cruz@wvsu.edu.ph,COE
Gerard,Reyes,Hernandez,gerard.reyes@wvsu.edu.ph,CICT
Maricar,Villanueva,Santos,maricar.villanueva@wvsu.edu.ph,COL
Elvin,Mendoza,Cruz,elvin.mendoza@wvsu.edu.ph,COM
Tricia,Santos,Torres,tricia.santos@wvsu.edu.ph,CON
Benjamin,Cruz,Lopez,benjamin.cruz@wvsu.edu.ph,PESCAR
Alexandra,Reyes,Garcia,alexandra.reyes@wvsu.edu.ph,CAS
Jeremiah,Dela Cruz,Santos,jeremiah.delacruz@wvsu.edu.ph,CBM
Vanessa,Torres,Villanueva,vanessa.torres@wvsu.edu.ph,COC
Harold,Lopez,Cruz,harold.lopez@wvsu.edu.ph,COD
Gabrielle,Garcia,Reyes,gabrielle.garcia@wvsu.edu.ph,COE
Louie,Santos,Mendoza,louie.santos@wvsu.edu.ph,CICT
Carla,Cruz,Dela Cruz,carla.cruz@wvsu.edu.ph,COL
Arvin,Reyes,Torres,arvin.reyes@wvsu.edu.ph,COM
Theresa,Villanueva,Santos,theresa.villanueva@wvsu.edu.ph,CON
Nathan,Mendoza,Lopez,nathan.mendoza@wvsu.edu.ph,PESCAR
Sophia,Garcia,Cruz,sophia.garcia@wvsu.edu.ph,CAS
Ronnie,Santos,Reyes,ronnie.santos@wvsu.edu.ph,CBM
Dianne,Cruz,Garcia,dianne.cruz@wvsu.edu.ph,COC
Ivan,Torres,Villanueva,ivan.torres@wvsu.edu.ph,COD
Marites,Lopez,Santos,marites.lopez@wvsu.edu.ph,COE
Anthony,Reyes,Cruz,anthony.reyes@wvsu.edu.ph,CICT
Julie,Santos,Dela Cruz,julie.santos@wvsu.edu.ph,COL
Lemuel,Villanueva,Torres,lemuel.villanueva@wvsu.edu.ph,COM
Giselle,Cruz,Reyes,giselle.cruz@wvsu.edu.ph,CON
Leonard,Mendoza,Santos,leonard.mendoza@wvsu.edu.ph,PESCAR
Luis Rafael,Ajoc,,luisrafael.ajoc@wvsu.edu.ph,CICT
Jan Daniel,Alvarez,,jandaniel.alvarez@wvsu.edu.ph,CICT
Matt Arnel,Amparo,,mattarnel.amparo@wvsu.edu.ph,CICT
Dallas,Aquino,,dallas.aquino@wvsu.edu.ph,CICT
Aser Jr.,Baladjay,,aserjr.baladjay@wvsu.edu.ph,CICT
Ramuel Carl,Barlas,,ramuelcarl.barlas@wvsu.edu.ph,CICT
Christopher Glenn,Bedis,,christopherglenn.bedis@wvsu.edu.ph,CICT
Jullian,Bilan,,jullianaguil.bilan@wvsu.edu.ph,CICT
Clarence Anthony,Bolivar,,clarenceanthony.bolivar@wvsu.edu.ph,CICT
Frederick Jibril,Bunag,,frederickjibril.bunag@wvsu.edu.ph,CICT
Ryan,Cabalfin,,ryanbongco.cabalfin@wvsu.edu.ph,CICT
Shane,Canabo,,shane.canabo@wvsu.edu.ph,CICT
Carl John,Coopera,,carljohn.coopera@wvsu.edu.ph,CICT
Louise Marielle,Dorado,,louisemarielle.dorado@wvsu.edu.ph,CICT
Johnel John,Esmajer,,johneljohn.esmajer@wvsu.edu.ph,CICT
Kirk Henrich,Gamo,,kirkhenrich.gamo@wvsu.edu.ph,CICT
Reginald Robert,Ledesma,,reginaldrobert.ledesma@wvsu.edu.ph,CICT
Quincy Rodge,Macalalag,,quincyrodge.macalalag@wvsu.edu.ph,CICT
Pierce Leo,Ollete,,pierceleo.ollete@wvsu.edu.ph,CICT
Arthur John,Pagayon,,arthurjohn.pagayon@wvsu.edu.ph,CICT
Zen Anthony,Pastolero,,zenanthony.pastolero@wvsu.edu.ph,CICT
Steven Ken,Pontillas,,stevenken.pontillas@wvsu.edu.ph,CICT
John Felmer,Robles,,johnfelmer.robles@wvsu.edu.ph,CICT
Bonn Joeuie,Sasana,,bonnjoeuie.sasana@wvsu.edu.ph,CICT
Jobell Dominic,Solito,,jobelldominic.solito@wvsu.edu.ph,CICT
Jan Floyd,Vallota,,janfloyd.vallota@wvsu.edu.ph,CICT
Athena,Villarin,,athena.villarin@wvsu.edu.ph,CICT
